DRUGBANK,name,groups,DRUGS PRODUCT DATABASE (DPD),PUBCHEM SUBSTANCE,KEGG DRUG,PHARMGKB,UNIPROTKB,THERAPEUTIC TARGETS DATABASE,WIKIPEDIA,CHEMBL,RXCUI,GENBANK,KEGG COMPOUND,CHEBI,PUBCHEM COMPOUND,CHEMSPIDER,BINDINGDB,IUPHAR,GUIDE TO PHARMACOLOGY,PDB,ZINC
DB00519,Trandolapril,approved,11443,46508300,D00383,PA451737,,DAP000583,Trandolapril,CHEMBL1519,38454,,,9649,5484727,4588590,50369775,,,,ZINC000001853205
DB00520,Caspofungin,approved,12330,46508288,D07626,PA164743013,,DAP000547,Caspofungin,CHEMBL499808,140108,,,474180,3035406,411774,,,,,
DB00521,Carteolol,approved,,46507513,D07624,PA164768736,,DAP000065,Carteolol,CHEMBL839,2116,,C06874,3437,2583,2485,50040065,,,,
DB00523,Alitretinoin,"approved,investigational",11885,46507356,D02815,PA164746900,,DAP000275,Alitretinoin,CHEMBL705,81864,,C15493,50648,449171,395778,31892,,,9CR,ZINC000012661824
DB00524,Metolazone,approved,8133,46509058,D00431,PA164781022,,DAP000749,Metolazone,CHEMBL878,6916,,,64354,4170,4026,25899,,,,
DB00525,Tolnaftate,"approved,investigational,vet_approved",9887,46505456,D00381,PA164752438,,DAP001237,Tolnaftate,CHEMBL83668,10637,,,9620,5510,5309,39349,,,,ZINC000000057522
DB00526,Oxaliplatin,"approved,investigational",20139,46509083,D01790,PA131285527,,DAP000062,Oxaliplatin,CHEMBL414804,32592,,,31941,6857599,8062727,,,,,
DB00527,Cinchocaine,"approved,vet_approved",7053,46506734,D00733,PA449286,,DAP000507,Dibucaine,CHEMBL1086,3339,,C07879,247956,3025,2917,48532,,,,ZINC000001530939
DB00528,Lercanidipine,"approved,investigational",,46508865,,PA164769058,,DAP001261,Lercanidipine,CHEMBL250270,135056,,,135930,65866,59276,,,,,
DB00529,Foscarnet,approved,,46507873,D00579,PA449706,,DAP001383,Foscarnet,CHEMBL666,33562,,C06456,127780,3415,3297,50011181,,,PPF,ZINC000008101109
DB00530,Erlotinib,"approved,investigational",12481,46508021,D07907,PA134687924,,DAP001010,Erlotinib,CHEMBL553,337525,,,114785,176870,154044,5446,,,AQ4,ZINC000001546066
DB00531,Cyclophosphamide,"approved,investigational",5927,46505441,D07760,PA449165,,DAP000532,Cyclophosphamide,CHEMBL88,1545988,,C07888,4027,2907,2804,50237604,,,,
DB00535,Cefdinir,approved,,46505573,D00917,PA164768739,,DAP000436,Cefdinir,CHEMBL927,25037,,C08110,3485,6915944,5291705,,,,,ZINC000003927198
DB00536,Guanidine,approved,,46507543,,PA164781028,,,Guanidine,CHEMBL821,50675,,,42820,3520,3400,50420178,,,GAI,ZINC000008101126
DB00537,Ciprofloxacin,"approved,investigational",8327,46504733,D00186,PA449009,,DAP001360,Ciprofloxacin,CHEMBL8,2551,,C05349,100241,2764,2662,21690,,,CPF,ZINC000000020220
DB00538,Gadoversetamide,"approved,investigational",12039,46504481,D01646,PA164743703,,,Gadoversetamide,CHEMBL1200457,228833,,,31644,444013,392041,,,,,
DB00539,Toremifene,"approved,investigational",,46506087,,PA451731,,DAP000793,Toremifene,CHEMBL1655,38409,,C08166,9635,3005573,2275722,58492,,,T0R,ZINC000012404516
DB00540,Nortriptyline,approved,9839,46507783,D08288,PA450657,,DAP001152,Nortriptyline,CHEMBL445,7531,,C07274,7640,4543,4384,112777,2404,2404,21B,ZINC000001530741
DB00541,Vincristine,"approved,investigational",5895,46507033,D08679,PA451879,,DAP000114,Vincristine,CHEMBL499458,11202,,C07204,28445,5978,4535015,38872,,,,ZINC000085537024
DB00542,Benazepril,"approved,investigational",1215,46507884,D07499,PA448561,,DAP000584,Benazepril,CHEMBL838,18867,,C06843,3011,5362124,4514935,50021153,,,,ZINC000003781943
DB00543,Amoxapine,approved,8001,46509117,D00228,PA448405,,DAP001149,Amoxapine,CHEMBL1113,722,,,2675,2170,2085,22870,201,201,,ZINC000000000931
DB00544,Fluorouracil,approved,6311,46508557,D00584,PA128406956,,DAP000829,Fluorouracil,CHEMBL185,4492,,C07649,46345,3385,3268,50340677,,,URF,ZINC000038212689
DB00545,Pyridostigmine,"approved,investigational",6296,46506129,D00487,PA451185,,DNC001171,Pyridostigmine,CHEMBL1115,9000,,C07410,8665,4991,4817,50313079,,,,ZINC000000002009
DB00547,Desoximetasone,approved,7592,46506793,,PA164746011,,DAP001185,Desoximetasone,CHEMBL1766,3255,,,691037,5311067,4470604,50103622,,,,ZINC000004212854
DB00548,Azelaic acid,approved,277,46506284,D03034,PA164754850,,DAP000889,Azelaic_acid,CHEMBL1238,18602,,C08261,48131,2266,2179,,,,AZ1,ZINC000001531036
DB00549,Zafirlukast,"approved,investigational",11685,46506874,D00411,PA451949,,DAP000091,Zafirlukast,CHEMBL603,114970,,C07206,10100,5717,5515,50009073,3322,3322,ZLK,ZINC000000896717
DB00550,Propylthiouracil,"approved,investigational",9439,46505181,D00562,PA451156,,DAP001247,Propylthiouracil,CHEMBL1518,8794,,C07569,8502,657298,571424,50133597,,,3CJ,ZINC000004640636
DB00551,Acetohydroxamic acid,approved,,46508546,D00220,PA164749213,,DAP001277,Acetohydroxamic_acid,CHEMBL734,16728,,C06808,49029,1990,1913,50099857,,,HAE,ZINC000004658603
DB00552,Pentostatin,"approved,investigational",1740,46507116,D00155,PA450863,,DAP000566,Pentostatin,CHEMBL1580,8011,,C02267,,439693,388759,22925,,,DCF,ZINC000003806262
DB00553,Methoxsalen,approved,5303,46506275,D00139,PA450433,,DAP000996,Methoxsalen,CHEMBL416,6854,,C01864,18358,4114,3971,50041234,,,8MO,ZINC000002548959
DB00554,Piroxicam,"approved,investigational",1996,46505225,D00127,PA450985,,DAP000181,Piroxicam,CHEMBL527,8356,,C01608,8249,54676228,10442653,85245,,,,ZINC000051133897
DB00555,Lamotrigine,"approved,investigational",238,46505408,D00354,PA450164,,DAP000039,Lamotrigine,CHEMBL741,28439,,,6367,3878,3741,50031299,2622,2622,,ZINC000000013156
DB00556,Perflutren,approved,12053,46506030,D01738,PA164781354,,,Octafluoropropane,CHEMBL1663,283753,,,31980,6432,6192,,,,,ZINC000008214651
DB00557,Hydroxyzine,approved,8008,46508556,D08054,PA449943,,DAP000324,Hydroxyzine,CHEMBL896,5553,,C07045,5818,3658,3531,22875,,,,
DB00558,Zanamivir,"approved,investigational",11911,46508581,D00902,PA164740891,,DAP000715,Zanamivir,CHEMBL222813,69722,,C08095,50663,60855,54842,50330326,,,ZMR,ZINC000003918138
DB00559,Bosentan,"approved,investigational",12538,46507154,D01227,PA10034,,DNC000341,Bosentan,CHEMBL957,75207,,,51450,104865,94651,50061101,,,K86,ZINC000001538857
DB00560,Tigecycline,approved,19932,46509041,D01079,PA164746412,,DAP000880,Tigecycline,CHEMBL376140,384455,,C12012,149836,54686904,10482314,50247905,,,,ZINC000014879972
DB00561,Doxapram,"approved,vet_approved",10198,46506829,D07873,PA164784026,,DAP001295,Doxapram,CHEMBL1754,3637,,,681848,3156,3044,,,,,
DB00562,Benzthiazide,approved,,46506752,D00651,PA164776841,,DAP000603,Benzthiazide,CHEMBL1201039,19008,,C07759,3047,2343,2253,50238676,,,,ZINC000003871698
DB00563,Methotrexate,approved,6197,46507678,D00142,PA450428,,DNC000933,Methotrexate,CHEMBL34259,6851,,C01937,44185,126941,112728,66082,,,MTX,ZINC000001529323
DB00564,Carbamazepine,"approved,investigational",4182,46507583,D00252,PA448785,,DAP000129,Carbamazepine,CHEMBL108,2002,,C06868,3387,2554,2457,50003659,,,N6W,ZINC000000004785
DB00565,Cisatracurium,approved,11084,46506666,,PA164744925,,DAP000196,Cisatracurium_besylate,CHEMBL1201248,319864,,,140621,62886,56615,,,,,ZINC000238809664
DB00566,Succimer,approved,,46504680,D00572,PA451521,,,Succimer,CHEMBL1201073,3446,,C07598,63623,2724354,2006502,50232640,,,,ZINC000003831475
DB00567,Cephalexin,"approved,investigational,vet_approved",8376,46506749,D00263,PA448883,,DAP000437,Cephalexin,CHEMBL1727,1299782,,C06895,3534,27447,25541,50139896,,,,ZINC000003830500
DB00568,Cinnarizine,"approved,investigational",,46506769,D01295,PA164749342,,DAP000325,Cinnarizine,CHEMBL43064,2549,,,31403,2761,1264793,50017657,,,,ZINC000019632891
DB00569,Fondaparinux,"approved,investigational",12253,46505595,,PA164746297,,DNC000658,Fondaparinux_sodium,CHEMBL1201202,,,,61033,49852292,4445600,,,,NTO,
DB00570,Vinblastine,approved,9407,46504550,,PA451877,,DAP000785,Vinblastine,CHEMBL159,11198,,,,13342,12773,50012278,,,VLB,ZINC000085432544
DB00571,Propranolol,"approved,investigational",22895,46505387,D08443,PA451145,,DAP000089,Propranolol,CHEMBL27,8787,,C07407,8499,4946,4777,25761,564,564,,
DB00572,Atropine,"approved,vet_approved",8972,46507540,D00113,PA448505,,DAP000377,Atropine,CHEMBL517712,1223,,C01479,78734,174174,10194105,50403547,320,320,OIN,
DB00573,Fenoprofen,approved,11356,46504597,D00968,PA449597,,DAP000619,Fenoprofen,CHEMBL1297,4331,,C06997,5004,3342,3225,54705,,,,
DB00575,Clonidine,approved,2564,46508119,D00281,PA449051,,DAP000231,Clonidine,CHEMBL134,2599,,,46632,2803,2701,14062,516,516,CLU,ZINC000000896484
DB00576,Sulfamethizole,"approved,investigational,vet_approved",,46508656,D00870,PA164781307,,DAP001202,Sulfamethizole,CHEMBL1191,10179,,C08050,9331,5328,5137,50295558,,,,ZINC000000057493
DB00577,Valaciclovir,"approved,investigational",11114,46508197,D00398,PA451839,,DAP000643,Valaciclovir,CHEMBL1349,73645,,C07184,35854,60773,54770,50162073,,,TXC,ZINC000001530713
DB00578,Carbenicillin,"approved,investigational",,46505653,D07614,PA448788,,DAP000438,Carbenicillin,CHEMBL1214,2015,,C06869,3393,20824,19599,,,,,
DB00579,Mazindol,"approved,investigational",2431,46509094,D00367,PA450326,,DAP000722,Mazindol,CHEMBL781,6664,,,6702,4020,3880,50005536,,,,
DB00581,Lactulose,approved,2395,46506757,D00352,PA164748762,,,Lactulose,CHEMBL296306,6218,,C07064,6359,11333,10856,50377984,,,W9T,ZINC000003977952
DB00582,Voriconazole,approved,13348,46506421,D00578,PA10233,,DAP001271,Voriconazole,CHEMBL638,121243,,C07622,10023,71616,64684,50333117,,,VOR,ZINC000000014864
DB00583,Levocarnitine,"approved,investigational",233,46505864,D02176,PA450154,,DAP000958,L-Carnitine,CHEMBL1149,2106,,C00318,16347,10917,10455,50037268,,,,
DB00584,Enalapril,"approved,vet_approved",1810,46507920,D07892,PA449456,,DAP001374,Enalapril,CHEMBL578,3827,,C06977,4784,5388962,4534998,50017129,,,,ZINC000003791297
DB00585,Nizatidine,approved,1305,46507554,D00440,PA164752234,,DAP000339,Nizatidine,CHEMBL3183075,42319,,C07270,7601,3033637,4356,,,,,
DB00586,Diclofenac,"approved,vet_approved",20061,46504644,D07816,PA449293,,DAP000620,Diclofenac,CHEMBL139,3355,,C01690,47381,3033,2925,13066,2714,2714,DIF,ZINC000000001281
DB00588,Fluticasone propionate,approved,637,46506140,D01708,PA449686,,DAP001039,Fluticasone_propionate,CHEMBL1473,50121,,,31441,444036,392059,50354849,,,,ZINC000003920027
DB00589,Lisuride,"approved,investigational",,46505557,D08132,PA164749019,,DAP000255,Lisuride,CHEMBL157138,6446,,,51164,28864,26847,50056445,227,227,H8G,ZINC000003831001
DB00590,Doxazosin,approved,11258,46506825,D07874,PA449407,,DAP000381,Doxazosin,CHEMBL707,49276,,C06970,4708,3157,3045,86731,,,,
DB00591,Fluocinolone acetonide,"approved,investigational,vet_approved",7578,46506244,D01825,PA164754912,,DAP000813,Fluocinolone_acetonide,CHEMBL989,4461,,,31623,6215,5980,,,,,ZINC000003977981
DB00592,Piperazine,"approved,vet_approved",7153,46507642,D00807,PA450977,,DAP001418,Piperazine,CHEMBL1412,8340,,C07973,28568,4837,13835459,,,,PZE,ZINC000005850277
DB00593,Ethosuximide,approved,6363,46507617,D00539,PA449533,,DAP000526,Ethosuximide,CHEMBL696,4135,,C07505,4887,3291,3175,50240424,,,,
DB00594,Amiloride,approved,20230,46508156,D07447,PA448368,,DAP000187,Amiloride,CHEMBL945,644,,C06821,2639,16231,15403,16173,2421,2421,AMR,ZINC000004340269
DB00595,Oxytetracycline,"approved,investigational,vet_approved",13282,46507025,,PA450757,,DAP000401,Oxytetracycline,CHEMBL1517,7821,,C06624,27701,54675779,10482174,,,,OTC,ZINC000095626782
DB00596,Ulobetasol,approved,7555,46506187,,PA164768832,,DAP001186,Ulobetasol,CHEMBL1201360,41208,,,,5311167,4470691,,,,,ZINC000004214603
DB00597,Gadoteridol,"approved,investigational",741,46505738,D01137,PA164746463,,,Gadoteridol,CHEMBL1200593,25483,,,31643,60714,54719,,,,,
DB00598,Labetalol,approved,1896,46505511,D08106,PA164743150,,DAP000038,Labetalol,CHEMBL429,6185,,C07063,6343,3869,3734,25758,,,,
DB00599,Thiopental,"approved,vet_approved",8249,46504621,,PA451664,,DAP000661,Thiopental,CHEMBL441,10493,,C07521,102166,3000715,2272258,50058058,2579,2579,,
DB00600,Monobenzone,approved,5304,46507466,D05072,PA164764582,,DAP000830,Monobenzone,CHEMBL1388,17145,,C14244,34380,7638,7356,50410520,,,,ZINC000000001748
DB00601,Linezolid,"approved,investigational",12110,46504452,D00947,PA450233,,DAP000398,Linezolid,CHEMBL126,190376,,C08146,63607,441401,390139,50116067,,,ZLD,ZINC000002008866
DB00602,Ivermectin,"approved,investigational,vet_approved",623,46506810,D00804,PA450133,,DAP000261,Ivermectin,CHEMBL1200633,6069,,C07970,,46936176,30776735,,,,,
DB00603,Medroxyprogesterone acetate,"approved,investigational",7538,46508895,D00951,PA450344,,DAP001211,Medroxyprogesterone,CHEMBL717,1000112,,C08150,6716,6279,6043,50067678,2879,2879,,ZINC000005029557
DB00605,Sulindac,"approved,investigational",2126,46506570,D00120,PA451565,,DAP000569,Sulindac,CHEMBL15770,10237,,C01531,9352,1548887,1265915,50012899,,,,
DB00606,Cyclothiazide,approved,,46508269,D01256,PA449168,,DAP000604,Cyclothiazide,CHEMBL61593,22033,,C12685,31448,2910,2807,50192229,,,CYZ,
DB00607,Nafcillin,"approved,investigational",11206,46508100,D08242,PA450576,,DAP001166,Nafcillin,CHEMBL1443,7233,,C07250,7447,8982,8634,50103525,,,NFN,ZINC000003875980
DB00608,Chloroquine,"approved,investigational,vet_approved",6547,46506925,D02366,PA448948,,DAP001357,Chloroquine,CHEMBL76,2393,,C07625,3638,2719,2618,22985,,,CLQ,
DB00609,Ethionamide,approved,,46506077,D00591,PA164768738,,DAP001141,Ethionamide,CHEMBL1441,4127,,C07665,4885,2761171,2041901,50239976,,,,ZINC000003872520
DB00610,Metaraminol,"approved,investigational",,46505593,,PA164748761,,DAP000225,Metaraminol,CHEMBL1201319,6805,,C07146,6794,5906,5695,50239972,,,,ZINC000000001695
DB00611,Butorphanol,"approved,illicit,vet_approved",2142,46507553,D00837,PA164745398,,DAP000214,Butorphanol,CHEMBL33986,1841,,C06863,3242,6916249,16735714,50240437,,,,ZINC000003812988
DB00612,Bisoprolol,approved,1218,46508844,D02342,PA448641,,DAP000483,Bisoprolol,CHEMBL645,19484,,C06852,3127,2405,2312,25751,,,,
DB00613,Amodiaquine,"approved,investigational",,46506940,D02922,PA448404,,DAP000699,Amodiaquine,CHEMBL682,720,,C07626,2674,2165,2080,50041457,,,CQA,ZINC000000608172
DB00615,Rifabutin,"approved,investigational",8316,46506468,D00424,PA451249,,DAP000656,Rifabutin,CHEMBL444633,55672,,C07235,45367,6323490,10482168,50237607,,,RBT,ZINC000169621215
DB00617,Paramethadione,approved,,46509173,D00495,PA164748880,,DAP001266,Paramethadione,CHEMBL1100,32894,,C07411,7921,8280,7979,,,,,
DB00618,Demeclocycline,approved,8665,46506314,D00290,PA164745513,,DAP000402,Demeclocycline,CHEMBL1591,3154,,,4392,54680690,10482117,,,,,ZINC000100036924
DB00619,Imatinib,approved,12429,46505055,D01441,PA10804,,DNC001383,Imatinib,CHEMBL941,282388,,,45783,5291,5101,13530,,,STI,ZINC000019632618
DB00620,Triamcinolone,"approved,vet_approved",7591,46507950,D00385,PA451749,,DAP000417,Triamcinolone,CHEMBL1451,10759,,,9667,31307,29046,41132,2870,2870,,ZINC000003882036
DB00621,Oxandrolone,"approved,investigational",,46509027,D00462,PA164749395,,DAP000905,Oxandrolone,CHEMBL1200436,7779,,C07346,7820,5878,5667,,,,,ZINC000003813047
DB00622,Nicardipine,"approved,investigational",1293,46504482,,PA450620,,DAP000486,Nicardipine,CHEMBL1484,7396,,C07264,7550,4474,4319,50101815,2559,2559,,
DB00623,Fluphenazine,approved,8013,46506645,D07977,PA449676,,DCL000806,Fluphenazine,CHEMBL726,4496,,C07010,5123,3372,3255,78433,204,204,,ZINC000019203912
DB00624,Testosterone,"approved,investigational",7478,46505691,D00075,PA451627,,DAP000841,Testosterone,CHEMBL386630,10379,,C00535,17347,6013,5791,8885,2858,2858,TES,ZINC000118912393
DB00625,Efavirenz,"approved,investigational",11857,46506827,D00896,PA449441,,DAP000709,Efavirenz,CHEMBL223228,195085,,C08088,119486,64139,57715,2483,,,EFZ,ZINC000002020233
DB00626,Bacitracin,"approved,vet_approved",8502,46504727,D00128,PA448531,,DAP000710,Bacitracin,CHEMBL1200558,1291,,C15482,35862,10909430,9084687,,,,,
DB00627,Niacin,"approved,investigational,nutraceutical",474,46507508,D00049,PA450617,,,Niacin,CHEMBL573,7393,,C00253,15940,938,913,23515,1594,1594,NIO,ZINC000000001795
DB00628,Clorazepic acid,"approved,illicit",2495,46506595,D00694,PA164749297,,DAP000240,Clorazepate,CHEMBL1213252,235408,,C06921,3761,2809,2707,,,,,
DB00629,Guanabenz,"approved,investigational",,46505200,D04375,PA164774903,,DAP000232,Guanabenz,CHEMBL420,5033,,C07034,5553,3517,4642445,50225293,,,,ZINC000000001522
DB00630,Alendronic acid,approved,13353,46507199,,PA448082,,DAP000182,Alendronate,CHEMBL870,236083,,C07752,2567,2088,2004,25313,,,212,ZINC000003801919
DB00631,Clofarabine,"approved,investigational",20504,46504968,,PA164754863,,DAP000849,Clofarabine,CHEMBL1750,44151,,,681569,119182,106472,,,,CFB,ZINC000003798247
DB00632,Docosanol,"approved,investigational",12720,46508049,,PA164749211,,DAP001249,Docosanol,CHEMBL1200453,594680,,,31000,12620,12100,50239998,,,,ZINC000006920384
DB00633,Dexmedetomidine,"approved,vet_approved",20565,46507406,D00514,PA449256,,DAP000233,Dexmedetomidine,CHEMBL778,48937,,C07450,4466,5311068,4470605,50085683,,,CZX,ZINC000004632106
DB00634,Sulfacetamide,approved,8144,46504544,D05947,PA451536,,DAP001191,Sulfacetamide,CHEMBL455,10169,,,63845,5320,5129,50316126,,,,ZINC000005179119
DB00635,Prednisone,"approved,vet_approved",7566,46508166,D00473,PA451100,,DAP001041,Prednisone,CHEMBL635,8640,,C07370,8382,5865,5656,,,,PDN,ZINC000003875357
DB00636,Clofibrate,"approved,investigational",9842,46504748,D00279,PA449045,,DAP000262,Clofibrate,CHEMBL565,2594,,C06916,3750,2796,2694,50085047,,,,ZINC000000056648
DB00638,Inulin,"approved,investigational,nutraceutical",,46508287,D00171,PA450043,,DAP001304,Inulin,CHEMBL1201646,5924,,C03323,15443,24763,23149,,,,,
DB00639,Butoconazole,approved,1310,46508016,D07598,PA164781353,,DAP001267,Butoconazole,CHEMBL1295,19884,,C08065,3240,47472,43192,79206,,,,
DB00640,Adenosine,"approved,investigational",4732,46508728,D00045,PA448049,,DAP000223,Adenosine,CHEMBL477,296,,C00212,16335,60961,54923,14487,,,ADN,ZINC000002169830
DB00641,Simvastatin,approved,1221,46508654,D00434,PA451363,,DAP001519,Simvastatin,CHEMBL1064,36567,,,9150,54454,49179,50139181,,,,ZINC000003780893
DB00642,Pemetrexed,"approved,investigational",13326,46505640,D07472,PA10810,,DCL000320,Pemetrexed,CHEMBL225072,68446,,,63616,446556,393879,50027656,,,LYA,ZINC000001540998
DB00643,Mebendazole,"approved,vet_approved",2434,46508807,D00368,PA164776669,,DAP000950,Mebendazole,CHEMBL685,6672,,,6704,4030,3890,50180753,,,,ZINC000000121541
DB00644,Gonadorelin,"approved,investigational,vet_approved",7362,46506144,,PA449801,,DAP001052,Gonadorelin,CHEMBL1981292,6384,,C07607,,36523,33562,,,,,
DB00645,Dyclonine,approved,5669,46506697,,PA164748037,,DAP000509,Dyclonine,CHEMBL1201217,23744,,C07881,4724,3180,3068,50240047,,,,ZINC000001530940
DB00646,Nystatin,"approved,vet_approved",8508,46504780,D00202,PA450666,,DAP000879,Nystatin,CHEMBL229383,7597,,C06572,473992,11953884,10468627,,,,,
DB00648,Mitotane,approved,2100,46508319,D00420,PA164746157,,DAP000033,Mitotane,CHEMBL1670,7004,,,6954,4211,4066,50239991,,,,
DB00649,Stavudine,"approved,investigational",66,46506943,D00445,PA451494,,DAP000172,Stavudine,CHEMBL991,59763,,C07312,63581,18283,17270,50013111,,,,ZINC000000137884
DB00650,Leucovorin,approved,4803,46505436,D07986,PA450198,,DAP001244,Folinic_acid,CHEMBL1679,6313,,C03479,15640,6006,5784,50239970,,,,
DB00651,Dyphylline,approved,6711,46504443,D00691,PA164748027,,DAP000596,Dyphylline,CHEMBL1752,3714,,C07819,4728,3182,3070,82016,,,,
DB00652,Pentazocine,"approved,vet_approved",9401,46506363,D00498,PA164744326,,DAP000356,Pentazocine,CHEMBL560,8001,,C07421,7982,441278,390041,50001028,1606,1606,,ZINC000000000596
DB00653,Magnesium sulfate,"approved,investigational,vet_approved",8750,46508411,D01108,PA450302,,DAP000201,Magnesium_sulfate,CHEMBL2021423,1311625,,,32599,24083,22515,,,,,
DB00654,Latanoprost,"approved,investigational",11458,46506279,D00356,PA164774763,,DAP001216,Latanoprost,CHEMBL1051,43611,,,6384,5311221,4470740,50240648,,,,ZINC000012468792
DB00655,Estrone,approved,7445,46505916,D00067,PA449512,,DAP001020,Estrone,CHEMBL1405,4103,,C00468,17263,5870,5660,17289,2818,2818,J3Z,ZINC000013509425
DB00656,Trazodone,"approved,investigational",11748,46506648,D08626,PA451744,,DAP000104,Trazodone,CHEMBL621,10737,,C07156,9654,5533,5332,50073444,213,213,,ZINC000000538483
DB00657,Mecamylamine,"approved,investigational",,46508607,,PA450334,,DAP000027,Mecamylamine,CHEMBL267936,6673,,C07511,6706,4032,3892,50061565,3990,3990,,
DB00658,Sevelamer,approved,20603,46505951,D01983,PA164781197,,,Sevelamer,CHEMBL1201798,214824,,,,3085017,2341997,,,,,
DB00659,Acamprosate,"approved,investigational",20124,46506657,D07058,PA10344,,DAP000857,Acamprosate,CHEMBL1201293,82819,,,51041,71158,64300,,,,,ZINC000001554588
DB00660,Metaxalone,approved,,46506253,D00773,PA164747189,,,Metaxalone,CHEMBL1079604,59078,,C07934,6797,15459,14709,,,,,
DB00661,Verapamil,approved,10110,46508158,D02356,PA451868,,DAP000040,Verapamil,CHEMBL6966,11170,,C07188,77733,2520,2425,81939,2406,2406,,
DB00662,Trimethobenzamide,"approved,investigational",,46507787,D08643,PA164764516,,,Trimethobenzamide,CHEMBL1201256,38685,,C07178,27796,5577,5375,,,,,ZINC000000538509
DB00663,Flumethasone,"approved,vet_approved",7573,46505121,D04208,PA164749388,,DAP000814,Flumethasone,CHEMBL1201392,4458,,C14479,34764,16490,15632,50240002,,,,ZINC000003983936
DB00665,Nilutamide,"approved,investigational",1243,46505381,D00965,PA450632,,DAP000302,Nilutamide,CHEMBL1274,31805,,C08164,7573,4493,4337,50135912,2864,2864,,ZINC000003874498
DB00666,Nafarelin,approved,7329,46506496,,PA164754805,,DAP001051,Nafarelin,CHEMBL1201309,28656,,C07613,,25077405,10482014,84707,,,,
DB00668,Epinephrine,"approved,vet_approved",8921,46509097,D00095,PA449470,,DAP000066,Epinephrine,CHEMBL679,3992,,C00788,28918,5816,5611,44818,479,479,ALE,ZINC000000039089
DB00669,Sumatriptan,"approved,investigational",11323,46506520,D00451,PA451566,,DNC001649,Sumatriptan,CHEMBL128,37418,,C07319,10650,5358,5165,50005835,119,119,,ZINC000000014360
DB00670,Pirenzepine,approved,20323,46509029,D08389,PA10159,,DAP000492,Pirenzepine,CHEMBL9967,8352,,C07508,8247,4848,4682,39341,,,,ZINC000019632927
DB00671,Cefixime,"approved,investigational",1236,46508684,D00258,PA164768821,,DAP000439,Cefixime,CHEMBL1541,25033,,C06881,472657,5362065,4514923,84007,,,C04,ZINC000004468778
DB00672,Chlorpropamide,"approved,investigational",9406,46506402,D00271,PA448966,,DAP000923,Chlorpropamide,CHEMBL498,2404,,,3650,2727,2626,50344965,,,,ZINC000001530599
DB00673,Aprepitant,"approved,investigational",20156,46505211,D02968,PA164747039,,DNC000952,Aprepitant,CHEMBL1471,358255,,,499361,6918365,5293568,50220136,,,GBQ,ZINC000027428713
DB00674,Galantamine,approved,12329,46505659,D04292,PA449726,,DAP000559,Galantamine,CHEMBL659,4637,,C08526,42944,9651,9272,10404,,,GNT,ZINC000000491073
DB00675,Tamoxifen,approved,2137,46505515,D08559,PA451581,,DAP000108,Tamoxifen,CHEMBL83,10324,,C07108,41774,2733526,2015313,20607,1016,1016,CTX,ZINC000001530689
DB00676,Benzyl benzoate,approved,7048,46508023,D01138,PA164748881,,,Benzyl_benzoate,CHEMBL1239,19044,,C12537,41237,2345,13856959,50134035,,,BZM,ZINC000000001021
DB00678,Losartan,approved,144,46506538,D08146,PA450268,,DAP000523,Losartan,CHEMBL191,52175,,C07072,6541,3961,3824,82258,590,590,LSN,ZINC000003873160
DB00681,Amphotericin B,"approved,investigational",8493,46505473,D00203,PA448415,,DAP001322,Amphotericin_B,CHEMBL267345,236594,,C06573,2682,5280965,10237579,,,,,ZINC000253387843
DB00682,Warfarin,approved,9054,46504711,,PA451906,,DAP000770,Warfarin,CHEMBL1464,11289,,C01541,87732,54678486,10442445,50343352,,,,
DB00683,Midazolam,"approved,illicit",11188,46507611,D00550,PA450496,,DAP000241,Midazolam,CHEMBL655,6960,,C07524,6931,4192,4047,21363,3342,3342,08J,ZINC000095626706
DB00684,Tobramycin,"approved,investigational",8596,46507662,D00063,PA451704,,DAP000110,Tobramycin,CHEMBL1747,10627,,C00397,28864,36294,33377,50366778,,,TOY,ZINC000008214692
DB00686,Pentosan polysulfate,approved,716,46509187,,PA164774806,,DAP001025,Pentosan_polysulfate,CHEMBL4073796,155046,,,,37720,34595,,,,,ZINC000014879975
DB00687,Fludrocortisone,"approved,investigational",7526,46508616,D07967,PA164743961,,DAP001105,Fludrocortisone,CHEMBL1201388,4452,,C07004,50885,31378,29111,,2873,2873,ZK5,ZINC000004097304
DB00688,Mycophenolate mofetil,"approved,investigational",118,46505626,D00752,PA450566,,DNC000397,Mycophenolate_mofetil,CHEMBL1456,68149,,C07908,8764,5281078,4444535,50248299,,,,ZINC000021297660
DB00689,Cephaloglycin,approved,,46506850,D01949,PA164781027,,DAP001158,Cephaloglycin,CHEMBL1200971,,,C13440,34613,19150,18069,,,,,ZINC000003830503
DB00690,Flurazepam,"approved,illicit,investigational",4015,46508451,D00329,PA449681,,DAP000242,Flurazepam,CHEMBL968,4501,,,5128,3393,3276,,,,FL7,ZINC000000537752
DB00691,Moexipril,approved,,46508441,,PA164769059,,DAP000586,Moexipril,CHEMBL1165,30131,,C07704,6960,91270,82418,50084673,,,,ZINC000003812306
DB00692,Phentolamine,approved,5974,46506535,,PA450926,,DAP000299,Phentolamine,CHEMBL597,8153,,,8081,5775,5571,31046,502,502,,ZINC000000020251
DB00693,Fluorescein,approved,5532,46504703,D01261,PA164746009,,,Fluorescein,CHEMBL1057,25138,,,31624,16850,15968,50237588,,,FLU,ZINC000003860453
